genotype,population,year,StandCountMetric,TotalCount,PeakCount,PeakDAP,StartCount,EndCount,StartDAP,EndDAP,Duration,LastEffectiveFlowerCount,LastEffectiveFlowerPercent,ElongationPct,FiberStrength,FiberUniformityIndexPct,LintPct,LintYield,MicronaireUnits,SeedYield,ShortFiberContentPct,UpperHalfMeanLen
'992204105002,Training,2023,4.045414482333333,366.6666666666667,64.33333333333333,104.33333333333333,18.333333333333336,348.3333333333333,79.66666666666667,123.33333333333333,43.666666666666664,326.3333333333333,0.8623161699248656,6.133333333333333,33.666666666666664,84.76666666666667,40.96666666666667,538.28,5.09,3553.14,5.9,1.1363333333333332
'992204105004,Training,2023,4.264454025,381,76.33333333333333,97.66666666666667,19.05,361.95,78.66666666666667,123,44.333333333333336,349.6666666666667,0.9138948562137096,7.033333333333333,30.8,84.46666666666667,40.11666666666667,922.9399999999999,5.223333333333334,6274.696666666667,5.633333333333333,1.121
'992204105006,Training,2023,2.730594748666667,473.3333333333333,87.33333333333333,101.33333333333333,23.666666666666668,449.6666666666667,76.33333333333333,124.33333333333333,48,389.3333333333333,0.82492388392001,6.133333333333333,29.666666666666668,84.36666666666666,36.10333333333333,902.7533333333333,3.9366666666666665,6924.843333333333,5.366666666666667,1.2703333333333333
'992204105007,Training,2023,3.3532134206666666,383,76,107,19.150000000000002,363.8499999999999,79,123,44,301.6666666666667,0.79371593675648755,5.4,33.233333333333334,83.76666666666667,38.89333333333333,723.0233333333333,4.31,5095.3533333333335,6.266666666666667,1.211
'992204105009,Training,2023,4.806548571333334,425,81.33333333333333,97.66666666666667,21.25,403.74999999999994,79.66666666666667,122.66666666666667,43,364.6666666666667,0.8382060578462378,5.8,32.7,86.13333333333333,41.32333333333333,1054.0733333333333,4.633333333333334,6970.203333333333,4.866666666666666,1.2486666666666666
'992204105010,Training,2023,5.401532695666667,473.3333333333333,80,97.66666666666667,23.666666666666668,449.66666666666663,72.66666666666667,120.33333333333333,47.666666666666664,443.6666666666667,0.9365246746072666,5.6000000000000005,31.733333333333334,85,39.21,923.56,4.223333333333333,6441.013333333333,5.833333333333333,1.238
'992204105011,Training,2023,4.328254390333333,456.3333333333333,81.66666666666667,105,22.816666666666666,433.51666666666665,74.33333333333333,125,50.666666666666664,380.6666666666667,0.8394006559919458,6.3,33.03333333333333,85.23333333333333,38.053333333333335,1018.68,4.833333333333333,7378.4366666666665,5.133333333333334,1.2513333333333334
'992204105012,Training,2023,3.3311674546666667,340.3333333333333,70.66666666666667,101.33333333333333,17.016666666666666,323.31666666666666,77.33333333333333,127.33333333333333,50,265,0.7748512697975064,6.3,32.33333333333333,84.96666666666667,36.803333333333335,1019.59,5.12,7620.3533333333335,5.6000000000000005,1.191
'992204105014,Training,2023,5.854803680666667,519.6666666666666,92.33333333333333,94,25.983333333333334,493.68333333333334,76,112,36,503,0.9650466009066799,6.433333333333334,31.666666666666668,84.83333333333333,37.68333333333334,821.73,4.676666666666667,5911.82,5.4,1.2416666666666667
'992204105015,Training,2023,6.603442119333334,420.3333333333333,71.33333333333333,98.66666666666667,21.016666666666666,399.31666666666666,76,123,47,381.6666666666667,0.9051691826465388,6.1,31.2,84.4,39.46666666666667,1208.2133333333334,4.963333333333333,8376.34,6.766666666666667,1.1473333333333333
'992204105017,Training,2023,3.832239492333333,412,82.66666666666667,101.33333333333333,20.6,391.4,78.66666666666667,122.66666666666667,44,375.3333333333333,0.9056840927624529,6,32.3,84.36666666666667,35.53666666666667,814.0433333333334,4.17,6259.573333333334,6.233333333333333,1.233
'992204105019,Training,2023,4.636296377,385.6666666666667,75.33333333333333,100.33333333333333,19.283333333333335,366.3833333333333,76.66666666666667,116,39.333333333333336,349.6666666666667,0.8999206680713473,5.733333333333333,34.5,84.89999999999999,35.81666666666667,826.4266666666666,4.37,6410.77,5.3,1.2373333333333334
'992204105020,Training,2023,6.204802131333333,432.6666666666667,93.66666666666667,98.66666666666667,21.633333333333333,411.0333333333333,76.66666666666667,125,48.333333333333336,387.6666666666667,0.8970070373723763,6.466666666666667,32.53333333333333,85.96666666666667,38.81,1092.42,4.37,7711.07,5.266666666666667,1.2443333333333333
'992204105021,Training,2023,5.4452376173333334,409,69.33333333333333,101.33333333333333,20.45,388.55,75.33333333333333,124.33333333333333,49,351,0.859722908907515,5.866666666666666,31.333333333333336,84.9,39.72666666666667,942.7933333333333,4.406666666666667,6501.49,5.466666666666667,1.2416666666666667
'992204105022,Training,2023,7.149991060333334,527,101,94,26.35,500.6499999999999,71.33333333333333,110.66666666666667,39.333333333333336,513.6666666666666,0.9735444941459616,5.266666666666667,33.6,85.36666666666666,39.04,1004.5166666666667,4.57,7015.563333333333,5.166666666666667,1.25
'992204105025,Training,2023,4.158766865333334,464,79,101,23.2,440.8,74.33333333333333,128.66666666666666,54.333333333333336,401,0.8584546460203291,6.666666666666667,30.2,84.03333333333333,39.236666666666665,1094.5633333333333,5.15,7620.35,5.966666666666667,1.133
'992204105026,Training,2023,4.270964234666667,482.6666666666667,104.33333333333333,101.33333333333333,24.133333333333333,458.5333333333333,78.66666666666667,117.33333333333333,38.666666666666664,435,0.8912988178917082,6.266666666666667,32.06666666666666,84.16666666666667,35.77,859.35,4.0633333333333335,6546.85,6.033333333333333,1.2423333333333333
